province_code,province_name_en,province_name_th
TH37,Amnat Charoen,อำนาจเจริญ
TH15,Ang Thong,อ่างทอง
TH10,Bangkok,กรุงเทพมหานคร
TH38,Bueng Kan,บึงกาฬ
TH31,Buri Ram,บุรีรัมย์
TH24,Chachoengsao,ฉะเชิงเทรา
TH18,Chai Nat,ชัยนาท
TH36,Chaiyaphum,ชัยภูมิ
TH22,Chanthaburi,จันทบุรี
TH50,Chiang Mai,เชียงใหม่
TH57,Chiang Rai,เชียงราย
TH20,Chon Buri,ชลบุรี
TH86,Chumphon,ชุมพร
TH46,Kalasin,กาฬสินธุ์
TH62,Kamphaeng Phet,กำแพงเพชร
TH71,Kanchanaburi,กาญจนบุรี
TH40,Khon Kaen,ขอนแก่น
TH81,Krabi,กระบี่
TH52,Lampang,ลำปาง
TH51,Lamphun,ลำพูน
TH42,Loei,เลย
TH16,Lop Buri,ลพบุรี
TH58,Mae Hong Son,แม่ฮ่องสอน
TH44,Maha Sarakham,มหาสารคาม
TH49,Mukdahan,มุกดาหาร
TH26,Nakhon Nayok,นครนายก
TH73,Nakhon Pathom,นครปฐม
TH48,Nakhon Phanom,นครพนม
TH30,Nakhon Ratchasima,นครราชสีมา
TH60,Nakhon Sawan,นครสวรรค์
TH80,Nakhon Si Thammarat,นครศรีธรรมราช
TH55,Nan,น่าน
TH96,Narathiwat,นราธิวาส
TH39,Nong Bua Lam Phu,หนองบัวลำภู
TH43,Nong Khai,หนองคาย
TH12,Nonthaburi,นนทบุรี
TH13,Pathum Thani,ปทุมธานี
TH94,Pattani,ปัตตานี
TH82,Phangnga,พังงา
TH93,Phatthalung,พัทลุง
TH56,Phayao,พะเยา
TH67,Phetchabun,เพชรบูรณ์
TH76,Phetchaburi,เพชรบุรี
TH66,Phichit,พิจิตร
TH65,Phitsanulok,พิษณุโลก
TH14,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา
TH54,Phrae,แพร่
TH83,Phuket,ภูเก็ต
TH25,Prachin Buri,ปราจีนบุรี
TH77,Prachuap Khiri Khan,ประจวบคีรีขันธ์
TH85,Ranong,ระนอง
TH70,Ratchaburi,ราชบุรี
TH21,Rayong,ระยอง
TH45,Roi Et,ร้อยเอ็ด
TH27,Sa Kaeo,สระแก้ว
TH47,Sakon Nakhon,สกลนคร
TH11,Samut Prakan,สมุทรปราการ
TH74,Samut Sakhon,สมุทรสาคร
TH75,Samut Songkhram,สมุทรสงคราม
TH19,Saraburi,สระบุรี
TH91,Satun,สตูล
TH33,Si Sa Ket,ศรีสะเกษ
TH17,Sing Buri,สิงห์บุรี
TH90,Songkhla,สงขลา
TH64,Sukhothai,สุโขทัย
TH72,Suphan Buri,สุพรรณบุรี
TH84,Surat Thani,สุราษฎร์ธานี
TH32,Surin,สุรินทร์
TH63,Tak,ตาก
TH92,Trang,ตรัง
TH23,Trat,ตราด
TH34,Ubon Ratchathani,อุบลราชธานี
TH41,Udon Thani,อุดรธานี
TH61,Uthai Thani,อุทัยธานี
TH53,Uttaradit,อุตรดิตถ์
TH95,Yala,ยะลา
TH35,Yasothon,ยโสธร
